School,Code
"Archwood School",archwood 
"Collège Béliveau",cb
"Collège Jeanne-Sauvé",cjs
"Dakota Collegiate Institute",dci
"Darwin School",darwin
"Dr. D. W. Penner School",penner
"École George-McDowell",mcdowell
"École Guyot",guyot
"École Henri-Bergeron",bergeron
"École Howden",howden
"École Julie-Riel",julieriel
"École Marie-Anne-Gaboury",gaboury
"École Mazina-Giizhik",mazina
"École Provencher",provencher
"École St. Germain",stgermain
"École Van Belleghem",belleghem
"École Varennes",varennes
"Frontenac School",frontenac
"General Vanier School",vanier
"Glenlawn Collegiate Institute",gci
"Glenwood School",glenwood
"H. S. Paul School",hspaul
"Hastings School",hastings
"Highbury School",highbury
"International Student Program",isp
"Island Lakes Community School",island
"J. H. Bruns Collegiate",jhb
"Lavallee School",lavallee
"Louis Riel Arts & Technology Centre",atc
"Marion School",marion
"Minnetonka School",minnetonka
"Nelson McIntyre Collegiate",nmc
"Niakwa Place School",niakwa
"Nordale School",nordale
"René Deleurme Centre",rdc
"Sage Creek School",sagecreek
"Samuel Burland School",burland
"Shamrock School",shamrock
"St. George School",stgeorge
"Victor H.L. Wyatt School",wyatt
"Victor Mager School",mager
"Windsor Park Collegiate",wpc
"Windsor School",windsor
